TWAS	GWAS	Overlapped
DBF4B	LOC100848921	
DCAF6	LOC100849587	
DCAF8	LOC101901906	
DCHS1	LOC101902002	
DCLRE1A	LOC101902375	
DCP1A	LOC101902874	
DCTN1	LOC101902884	
DCUN1D4	LOC101903073	
DDB1	LOC101903645	
DDIAS	LOC101903773	
DDIT4L	LOC101903868	
DDO	LOC101904059	
DDT	LOC101904351	
DDX1	LOC101904449	
DDX19B	LOC101904633	
DDX20	LOC101904827	
DDX24	LOC101904831	
DDX27	LOC101904902	
DDX5	LOC101905128	
DDX50	LOC101905188	
DEGS1	LOC101905359	
DENND2C	LOC101905403	
DENND2D	LOC101905490	
DENND5A	LOC101905509	
DENND6B	LOC101905680	
DES	LOC101905730	
DGAT1	LOC101905795	
DGKB	LOC101905963	
DGKE	LOC101906082	
DGKG	LOC101906110	
DHRS11	LOC101906939	
DHRS13	LOC101906999	
DHX29	LOC101907074	
DHX30	LOC101907132	
DIDO1	LOC101907142	
DIP2C	LOC101907165	
DLG2	LOC101907242	
DMAP1	LOC101907330	
DMPK	LOC101907394	
DMWD	LOC101907744	
DMXL2	LOC101907753	
DNA2	LOC101907803	
DNAJA2	LOC101907917	
DNAJA4	LOC101907929	
DNAJB5	LOC101908069	
DNAJC17	LOC101908095	
DNPEP	LOC101908174	
DOCK2	LOC104968497	
DOCK7	LOC104968500	
DOCK8	LOC104968891	
DOHH	LOC104968905	
DOLK	LOC104969247	
DPEP2	LOC104969270	
DPY19L1	LOC104969590	
DPYSL3	LOC104969641	
DRAP1	LOC104969823	
DSC3	LOC104970072	
DSG2	LOC104970303	
DSTN	LOC104970823	
DTNA	LOC104970902	
DTNBP1	LOC104970974	
DTX3	LOC104971230	
DUOX1	LOC104971236	
DUSP10	LOC104971841	
DUSP18	LOC104972036	
DUSP26	LOC104972428	
DUSP3	LOC104972699	
DUSP7	LOC104972713	
DVL2	LOC104973119	
DYNC1I1	LOC104973153	
DYNC1I2	LOC104973164	
DYNLL1	LOC104973172	
DYRK1B	LOC104973175	
DZIP1L	LOC104973209	
DZIP3	LOC104973559	
E2F3	LOC104973781	
E2F6	LOC104973989	
E4F1	LOC104974055	
EBI3	LOC104974144	
ECD	LOC104974257	
