group	chao1	shannon
Bacteria	875	8.184542
Bacteria	1448.625	9.383135
Bacteria	1195.205479	9.307233
Bacteria	1321.595745	9.029603
Bacteria	1006.777778	8.870367
Bacteria	1095.622642	8.922833
Bacteria	1462.72	9.362304
Bacteria	1267.758621	9.074705
Bacteria	1300.9	9.325809
Bacteria	1658.057692	9.589827
Bacteria	1640.058824	9.673215
Bacteria	1696.7	9.662473
Bacteria	1293.83871	9.213923
Bacteria	1399.943662	9.399989
Bacteria	1313.017241	9.025968
Bacteria	1696.837838	9.451927
Bacteria	1239.444444	8.616795
Bacteria	1187.192308	9.020192
Bacteria	1574.059701	9.568966
Bacteria	1276.157895	9.317532
Bacteria	1671.308824	9.34682
Bacteria	1639.123457	9.629983
Bacteria	1365.8125	9.387971
Bacteria	1271.207547	9.179856
Bacteria	1461.04	9.504048
Bacteria	1147.226415	9.031444
Bacteria	944.3584906	8.713596
Bacteria	1649.25	9.578844
Bacteria	1284.163265	8.763436
Bacteria	1241.833333	9.085396
Bacteria	1112.59322	8.993208
Bacteria	1494.909091	9.388771
Bacteria	983.625	8.681279
Bacteria	870.1	8.086085
Bacteria	934.5	8.257017
Bacteria	1324.442857	9.079177
Bacteria	1271.701754	9.143181
Bacteria	1376.773585	9.260304
Bacteria	1408.038462	9.26267
Bacteria	1555.693548	9.355422
Bacteria	1169.842105	8.928469
Bacteria	1705.758065	9.707694
Bacteria	1568.909091	9.527846
Bacteria	991.3846154	8.714255
Bacteria	1183.133333	8.95033
Bacteria	916.1935484	8.255927
Bacteria	1290.46875	9.198062
Bacteria	1190.444444	9.15043
Bacteria	1327.886792	9.315324
Bacteria	1352.559322	9.113295
Bacteria	1552.344262	9.406558
Bacteria	1690.506329	9.554113
Bacteria	1015.153846	5.654144
Bacteria	1701.221053	9.568173
Bacteria	1736.453608	9.566612
Bacteria	1630.692308	9.435655
Bacteria	1624.014286	9.404873
Bacteria	1819.212121	9.618895
Bacteria	1602	9.317579
Bacteria	1447.246154	9.190855
Bacteria	1647.511628	9.502778
Bacteria	1479.887097	9.248164
Bacteria	1567.776316	9.428364
Bacteria	1080.468085	8.186651
Bacteria	1597.230769	9.296421
Bacteria	1683.630137	9.468961
Bacteria	1668.123288	9.482118
Bacteria	1568.178082	9.381651
Bacteria	1485.2	9.265431
Bacteria	1606.04	9.354841
Bacteria	1461.776316	9.432585
Bacteria	1597.75	9.487955
Bacteria	1704.923077	9.496526
Bacteria	1267.27907	8.939922
Bacteria	1184.779661	8.704387
Bacteria	1417	9.118164
Bacteria	1555.186047	9.343118
Bacteria	1100.3125	8.861697
Bacteria	1525.402985	9.33355
Bacteria	1206.77551	8.855937
Bacteria	1146.71875	8.847515
Bacteria	1515.692308	9.199134
Bacteria	1509.074074	9.271898
Bacteria	1228.482143	8.883627
Bacteria	1344.122807	8.971651
Bacteria	1602.424242	9.59138
Bacteria	1499.545455	8.645691
Bacteria	1336.120482	9.068865
Bacteria	1196.56	8.969076
Bacteria	1439.058824	9.215234
Bacteria	1274.044118	9.271462
