id	a	b
257	0.03114005	0.730494987
258	0.02429202	0.58572549
259	-0.009987562	0.69879925
260	-0.0107265	0.649609097
261	-0.02338687	0.656531929
262	-0.005335749	0.640402731
263	-0.008937212	0.395775911
264	0.006601159	0.504468193
265	0.01003034	0.545866865
266	0.04111478	0.708751171
267	-0.01070942	0.664319044
268	0.04043078	0.625561564
269	0.007497218	0.681081387
270	-0.001962486	0.317754886
271	0.0178412	0.671423747
272	-0.01349287	0.676643429
273	0.0140112	0.757661555
274	-0.02778817	0.619628261
275	0.004246611	0.501827095
276	-0.008961973	0.699791454
277	-0.01260775	0.589925617
278	-0.01568672	0.612214271
279	-0.000350399	0.682182347
280	-0.002669745	0.731566761
281	0.02224387	0.424268361
282	-0.01615266	0.537595763
283	-0.0191777	0.557259004
284	0.005643702	0.473504883
285	0.01712617	0.784429674
286	0.000760853	0.659573241
287	-0.02237258	0.60965941
288	0.03447353	0.756518431
289	-0.0102414	0.310022058
290	-0.0528157	0.509727154
291	0.001223099	0.712865527
292	-0.01600134	0.626787761
293	-0.001425921	0.679888657
294	-0.02145337	0.355454352
295	-0.01436417	0.544217687
296	-0.01598692	0.604999311
297	-0.01080043	0.339360864
298	0.01068117	0.742540888
299	-0.01957124	0.703205877
300	-0.02280591	0.632747635
301	0.002782796	0.786354938
302	0.01147603	0.728401579
303	-0.03119029	0.533840936
304	0.001691236	0.626077287
305	-0.02002981	0.348023713
306	-0.006235437	0.753835905
307	-0.009005351	0.571428571
308	-0.002784647	0.682221429
309	-0.01125267	0.683987698
310	-0.003228926	0.687495181
311	0.009229805	0.76341068
312	0.02434029	0.774552849
313	0.04351109	0.558806417
314	0.01704082	0.49708124
315	-0.01681967	0.563439949
316	-0.02206451	0.566830988
317	-0.002959213	0.29665118
318	-0.03182308	0.669976615
319	0.01003338	0.617857509
320	-0.008869417	0.747289874
321	-0.000911871	0.585099838
322	-0.02471006	0.631446
323	-0.03049195	0.545244502
324	-0.02528494	0.654902714
325	0.006017227	0.652059841
326	0.04683747	0.603024366
327	0.002604164	0.457059772
328	-0.04076044	0.79014254
329	0.02530468	0.626767214
330	0.00261844	0.867707987
331	-0.01185442	0.32929102
332	-0.03861899	0.499387338
333	-0.009539942	0.709559576
334	-0.03396571	0.63619291
335	0.01684038	0.632860746
336	-0.03367745	0.71998644
337	-0.000935978	0.596563956
338	-0.01186538	0.573626577
339	-0.02580951	0.466756455
340	0.02372411	0.776881053
341	-0.02029987	0.545765847
342	-0.008512912	0.599362471
343	0.001244674	0.530637394
344	-0.02215483	0.582487687
345	-0.02802205	0.655201916
346	-0.01572734	0.666145404
347	0.01491444	0.671637269
348	-0.002444103	0.694412598
349	-0.01410132	0.493930443
350	0.007067016	0.664216183
351	0.03752446	0.643655743
352	-0.03482943	0.569214912
353	0.02652548	0.402070689
354	-0.06803818	0.570758854
355	-0.01372824	0.686646279
356	-0.02791111	0.376948377
357	-0.01341815	0.521060055
358	0.003380272	0.643937499
359	0.003812637	0.608958968
360	-0.007836552	0.606325341
361	-0.007497854	0.558584985
362	0.03326171	0.674325792
363	-0.008190105	0.778491604
364	-0.01992474	0.714523548
365	-0.01105735	0.423036482
366	0.01571162	0.600616818
367	0.02316921	0.518636133
368	0.02302774	0.614221618
369	-0.03300304	0.603076657
