id	a	b
382	0.1984152	0.839858216
383	0.219023	0.47824541
384	0.1949767	0.842216582
385	0.269947	0.783606788
386	0.1006472	0.631838182
387	0.230927	0.839155602
388	0.1425772	0.780855603
389	0.1258861	0.614432883
390	0.2087224	0.609633441
391	0.1672936	0.747757901
392	0.1946835	0.660853667
393	0.1974456	0.596302593
394	0.2002433	0.691239858
395	0.2217236	0.629472564
396	0.1882044	0.439617638
397	0.2577134	0.62661304
398	0.2253094	0.674477437
399	0.1117245	0.69458138
400	0.177934	0.748215029
401	0.1719101	0.702036688
402	0.188067	0.715261044
403	0.1153504	0.373444766
404	0.1551463	0.669035952
405	0.106501	0.732056357
406	0.1369836	0.458959611
407	0.1165111	0.522612156
408	0.1891148	0.788804008
409	0.1761264	0.627473223
410	0.2170009	0.541217054
411	0.1032385	0.710075251
412	0.1002198	0.746008266
413	0.1949417	0.728206333
414	0.2346459	0.516959156
415	0.1059993	0.332905134
416	0.1943913	0.79688376
417	0.2363937	0.628932996
418	0.1920481	0.805243669
419	0.1065667	0.729746619
420	0.1566334	0.690404345
421	0.2203132	0.647737117
422	0.1945175	0.605241404
423	0.2181217	0.582524272
424	0.1045657	0.661284514
425	0.2164255	0.809231988
426	0.1883228	0.733806318
427	0.2299403	0.83547849
428	0.1722054	0.520456515
429	0.1877	0.725774627
430	0.2376221	0.866608941
431	0.14997	0.819652163
432	0.1297587	0.799813066
433	0.1710555	0.676767379
434	0.1156997	0.715254917
435	0.184837	0.722624335
436	0.2241329	0.640469728
437	0.2069751	0.548725805
438	0.1377794	0.658032494
439	0.1013092	0.614409503
440	0.1115793	0.460793064
441	0.1928515	0.723449036
442	0.1182611	0.706130978
443	0.1095955	0.605244565
444	0.2264715	0.653140682
445	0.1899598	0.794154946
446	0.2320724	0.662457854
447	0.1089294	0.769227405
448	0.1869021	0.488635107
449	0.1074419	0.54830867
450	0.1447329	0.775885848
451	0.1125688	0.689945491
452	0.2276815	0.580606544
453	0.1014478	0.713899456
454	0.2620703	0.741778361
455	0.1837839	0.70122478
456	0.187401	0.653754651
457	0.1009036	0.511983902
458	0.2588158	0.545141697
459	0.1455517	0.63621429
460	0.2319606	0.481782536
461	0.1977214	0.670592046
462	0.1206351	0.745062775
463	0.1425031	0.647315894
464	0.2105958	0.575598594
465	0.1078093	0.65304139
466	0.2936488	0.645829963
467	0.2585813	0.496144531
468	0.1958362	0.666518453
469	0.2324528	0.716326293
470	0.2108495	0.654407274
471	0.1958612	0.695427856
472	0.2100479	0.609905467
473	0.1471569	0.742268041
474	0.1991379	0.648185217
475	0.1716923	0.665671995
476	0.2163279	0.796774427
477	0.2126506	0.623604834
478	0.1712871	0.750741878
479	0.1283874	0.777663715
480	0.2594623	0.77699995
481	0.1162729	0.633936311
482	0.1087197	0.572060868
483	0.1300405	0.657996522
484	0.2232049	0.760773173
485	0.2470201	0.675148052
486	0.1963216	0.818176181
487	0.2382326	0.723386194
488	0.1456713	0.53055225
489	0.111253	0.734022531
490	0.2714978	0.758462485
491	0.1720608	0.53385829
492	0.2371894	0.685237885
493	0.183788	0.870685214
494	0.1901515	0.654661887
495	0.1026406	0.529426121
496	0.1088221	0.655220132
497	0.2131334	0.809531907
498	0.2725554	0.77224368
499	0.1443254	0.597220775
500	0.1303182	0.595620342
